[2026-08-04 20:18:05] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 120.54, activeSessions: 4189, failedAuthentications: 4
[2026-08-04 20:20:25] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 119.34, activeSessions: 4219, failedAuthentications: 4
[2026-08-04 20:20:35] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 119.74, activeSessions: 4208, failedAuthentications: 4
[2026-08-04 20:20:45] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 120.06, activeSessions: 4206, failedAuthentications: 4
[2026-08-04 20:20:55] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 121.41, activeSessions: 4197, failedAuthentications: 4
[2026-08-04 20:21:05] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 119.38, activeSessions: 4196, failedAuthentications: 4
[2026-08-04 20:21:15] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 121.56, activeSessions: 4223, failedAuthentications: 4
[2026-08-04 20:21:25] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 119.13, activeSessions: 4184, failedAuthentications: 4
[2026-08-04 20:21:35] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 122.86, activeSessions: 4197, failedAuthentications: 4
[2026-08-04 20:21:45] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 121.19, activeSessions: 4201, failedAuthentications: 4
[2026-08-04 20:21:55] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 121.11, activeSessions: 4195, failedAuthentications: 4
[2026-08-04 20:22:05] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 120.03, activeSessions: 4221, failedAuthentications: 4
[2026-08-04 20:22:15] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 119.18, activeSessions: 4183, failedAuthentications: 4
[2026-08-04 20:22:25] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 122.19, activeSessions: 4221, failedAuthentications: 4
[2026-08-04 20:22:35] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 120.29, activeSessions: 4184, failedAuthentications: 4
[2026-08-04 20:22:45] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 119.19, activeSessions: 4206, failedAuthentications: 4
[2026-08-04 20:22:55] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 120.92, activeSessions: 4181, failedAuthentications: 4
[2026-08-04 20:23:05] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 120.31, activeSessions: 4203, failedAuthentications: 4
[2026-08-04 20:23:15] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 122.03, activeSessions: 4219, failedAuthentications: 4
[2026-08-04 20:23:25] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 121.01, activeSessions: 4177, failedAuthentications: 4
[2026-08-04 20:23:35] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 119.65, activeSessions: 4203, failedAuthentications: 4
[2026-08-04 20:23:45] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 118.64, activeSessions: 4196, failedAuthentications: 4
[2026-08-04 20:23:55] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 120.98, activeSessions: 4220, failedAuthentications: 4
[2026-08-04 20:24:05] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 118.67, activeSessions: 4223, failedAuthentications: 4
[2026-08-04 20:24:15] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 118.07, activeSessions: 4218, failedAuthentications: 4
[2026-08-04 20:24:25] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 118.01, activeSessions: 4197, failedAuthentications: 4
[2026-08-04 20:24:35] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 118.43, activeSessions: 4175, failedAuthentications: 4
[2026-08-04 20:24:45] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 119, activeSessions: 4183, failedAuthentications: 4
[2026-08-04 20:24:55] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 118.3, activeSessions: 4204, failedAuthentications: 4
[2026-08-04 20:25:05] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 121.01, activeSessions: 4213, failedAuthentications: 5
[2026-08-04 20:25:15] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 120.87, activeSessions: 4202, failedAuthentications: 4
[2026-08-04 20:25:25] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 120.5, activeSessions: 4192, failedAuthentications: 4
[2026-08-04 20:25:35] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 121.31, activeSessions: 4221, failedAuthentications: 5
[2026-08-04 20:25:45] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 122.89, activeSessions: 4198, failedAuthentications: 4
[2026-08-04 20:25:55] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 120.08, activeSessions: 4196, failedAuthentications: 4
[2026-08-04 20:26:05] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 118.91, activeSessions: 4190, failedAuthentications: 4
[2026-08-04 20:26:15] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 118.62, activeSessions: 4191, failedAuthentications: 4
[2026-08-04 20:26:25] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 118.64, activeSessions: 4185, failedAuthentications: 4
[2026-08-04 20:26:35] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 119.83, activeSessions: 4206, failedAuthentications: 5
[2026-08-04 20:26:45] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 119.9, activeSessions: 4215, failedAuthentications: 4
[2026-08-04 20:26:55] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 121.97, activeSessions: 4220, failedAuthentications: 4
[2026-08-04 20:27:05] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 122.61, activeSessions: 4189, failedAuthentications: 4
[2026-08-04 20:27:15] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 120.56, activeSessions: 4217, failedAuthentications: 4
[2026-08-04 20:27:25] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 120.67, activeSessions: 4206, failedAuthentications: 4
[2026-08-04 20:27:35] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 120.12, activeSessions: 4193, failedAuthentications: 4
[2026-08-04 20:27:45] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 122.49, activeSessions: 4179, failedAuthentications: 4
[2026-08-04 20:27:55] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 121.37, activeSessions: 4206, failedAuthentications: 4
[2026-08-04 20:28:05] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 118.6, activeSessions: 4224, failedAuthentications: 4
[2026-08-04 20:28:15] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 118.7, activeSessions: 4202, failedAuthentications: 4
[2026-08-04 20:28:25] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 118.12, activeSessions: 4181, failedAuthentications: 4
[2026-08-04 20:28:37] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 121.23, activeSessions: 4204, failedAuthentications: 4
[2026-08-04 20:28:47] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 122.09, activeSessions: 4191, failedAuthentications: 4
[2026-08-04 20:28:57] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 122.39, activeSessions: 4182, failedAuthentications: 4
[2026-08-04 20:29:08] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 119.63, activeSessions: 4202, failedAuthentications: 4
[2026-08-04 20:29:18] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 120.93, activeSessions: 4190, failedAuthentications: 4
[2026-08-04 20:29:28] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 121, activeSessions: 4217, failedAuthentications: 4
[2026-08-04 20:29:38] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 120.04, activeSessions: 4214, failedAuthentications: 4
[2026-08-04 20:29:48] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 121.37, activeSessions: 4216, failedAuthentications: 4
[2026-08-04 20:29:58] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 119.67, activeSessions: 4212, failedAuthentications: 4
[2026-08-04 20:30:08] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 120.73, activeSessions: 4199, failedAuthentications: 4
[2026-08-04 20:30:18] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 118.21, activeSessions: 4202, failedAuthentications: 4
[2026-08-04 20:30:28] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 118.54, activeSessions: 4196, failedAuthentications: 4
[2026-08-04 20:30:38] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 118.78, activeSessions: 4181, failedAuthentications: 4
[2026-08-04 20:30:48] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 121.88, activeSessions: 4197, failedAuthentications: 4
[2026-08-04 20:30:58] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 119.63, activeSessions: 4191, failedAuthentications: 4
[2026-08-04 20:31:08] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 122.15, activeSessions: 4215, failedAuthentications: 4
[2026-08-04 20:31:17] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 118.03, activeSessions: 4179, failedAuthentications: 4
[2026-08-04 20:31:28] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 122.15, activeSessions: 4191, failedAuthentications: 4
[2026-08-04 20:31:38] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 121.8, activeSessions: 4204, failedAuthentications: 4
[2026-08-04 20:31:47] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 120.44, activeSessions: 4193, failedAuthentications: 4
[2026-08-04 20:31:58] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 121.36, activeSessions: 4205, failedAuthentications: 4
[2026-08-04 20:32:08] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 120.64, activeSessions: 4189, failedAuthentications: 4
[2026-08-04 20:32:17] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 121.98, activeSessions: 4201, failedAuthentications: 4
[2026-08-04 20:32:27] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 120.24, activeSessions: 4221, failedAuthentications: 5
[2026-08-04 20:32:37] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 119.32, activeSessions: 4210, failedAuthentications: 4
[2026-08-04 20:32:47] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 119.98, activeSessions: 4197, failedAuthentications: 4
[2026-08-04 20:32:58] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 118.52, activeSessions: 4181, failedAuthentications: 4
[2026-08-04 20:33:08] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 119.86, activeSessions: 4223, failedAuthentications: 4
[2026-08-04 20:33:17] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 118.04, activeSessions: 4212, failedAuthentications: 4
[2026-08-04 20:33:28] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 122.29, activeSessions: 4211, failedAuthentications: 4
[2026-08-04 20:33:37] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 118.01, activeSessions: 4209, failedAuthentications: 4
[2026-08-04 20:33:48] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 121.16, activeSessions: 4215, failedAuthentications: 4
[2026-08-04 20:33:58] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 119.4, activeSessions: 4211, failedAuthentications: 4
[2026-08-04 20:34:08] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 121.84, activeSessions: 4177, failedAuthentications: 4
[2026-08-04 20:34:18] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 119.08, activeSessions: 4180, failedAuthentications: 4
[2026-08-04 20:34:28] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 120.1, activeSessions: 4188, failedAuthentications: 4
