[2026-08-04 20:18:05] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 9 eps
[2026-08-04 20:22:15] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 5 eps
[2026-08-04 20:22:25] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 8 eps
[2026-08-04 20:22:35] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 9 eps
[2026-08-04 20:22:45] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 8 eps
[2026-08-04 20:22:55] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 7 eps
[2026-08-04 20:23:05] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 9 eps
[2026-08-04 20:23:15] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 9 eps
[2026-08-04 20:23:25] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 5 eps
[2026-08-04 20:23:35] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 9 eps
[2026-08-04 20:23:45] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 7 eps
[2026-08-04 20:23:55] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 7 eps
[2026-08-04 20:24:05] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 8 eps
[2026-08-04 20:24:15] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 9 eps
[2026-08-04 20:24:25] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 6 eps
[2026-08-04 20:24:35] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 6 eps
[2026-08-04 20:24:45] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 5 eps
[2026-08-04 20:24:55] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 6 eps
[2026-08-04 20:25:05] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 7 eps
[2026-08-04 20:25:15] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 6 eps
[2026-08-04 20:25:25] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 5 eps
[2026-08-04 20:25:35] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 9 eps
[2026-08-04 20:25:45] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 6 eps
[2026-08-04 20:25:55] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 9 eps
[2026-08-04 20:26:05] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 7 eps
[2026-08-04 20:26:15] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 9 eps
[2026-08-04 20:26:25] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 7 eps
[2026-08-04 20:26:35] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 7 eps
[2026-08-04 20:26:45] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 7 eps
[2026-08-04 20:26:55] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 5 eps
[2026-08-04 20:27:05] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 7 eps
[2026-08-04 20:27:15] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 8 eps
[2026-08-04 20:27:25] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 5 eps
[2026-08-04 20:27:35] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 9 eps
[2026-08-04 20:27:45] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 7 eps
[2026-08-04 20:27:55] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 6 eps
[2026-08-04 20:28:06] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 8 eps
[2026-08-04 20:28:16] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 9 eps
[2026-08-04 20:28:25] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 9 eps
[2026-08-04 20:28:37] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 7 eps
[2026-08-04 20:28:48] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 7 eps
[2026-08-04 20:28:58] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 7 eps
[2026-08-04 20:29:08] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 6 eps
[2026-08-04 20:29:18] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 6 eps
[2026-08-04 20:29:28] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 8 eps
[2026-08-04 20:29:38] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 6 eps
[2026-08-04 20:29:48] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 7 eps
[2026-08-04 20:29:58] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 8 eps
[2026-08-04 20:30:08] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 6 eps
[2026-08-04 20:30:18] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 6 eps
[2026-08-04 20:30:28] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 7 eps
[2026-08-04 20:30:39] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 8 eps
[2026-08-04 20:30:48] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 8 eps
[2026-08-04 20:30:58] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 5 eps
[2026-08-04 20:31:08] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 9 eps
[2026-08-04 20:31:18] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 9 eps
[2026-08-04 20:31:28] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 6 eps
[2026-08-04 20:31:38] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 7 eps
[2026-08-04 20:31:48] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 7 eps
[2026-08-04 20:31:58] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 5 eps
[2026-08-04 20:32:08] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 8 eps
[2026-08-04 20:32:18] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 5 eps
[2026-08-04 20:32:28] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 7 eps
[2026-08-04 20:32:38] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 9 eps
[2026-08-04 20:32:48] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 6 eps
[2026-08-04 20:32:58] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 9 eps
[2026-08-04 20:33:08] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 7 eps
[2026-08-04 20:33:18] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 6 eps
[2026-08-04 20:33:28] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 8 eps
[2026-08-04 20:33:38] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 7 eps
[2026-08-04 20:33:48] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 5 eps
[2026-08-04 20:33:58] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 9 eps
[2026-08-04 20:34:08] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 9 eps
[2026-08-04 20:34:18] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 8 eps
[2026-08-04 20:34:28] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 5 eps
