[2026-07-29 18:03:06] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.86, latency: 61, replicas: 3
[2026-07-30 06:36:32] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.79, latency: 60, replicas: 3
[2026-07-30 06:36:42] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.94, latency: 57, replicas: 3
[2026-07-30 06:36:52] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 30.37, latency: 59, replicas: 3
[2026-07-30 06:37:02] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.25, latency: 60, replicas: 3
[2026-07-30 06:37:12] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.72, latency: 59, replicas: 3
[2026-07-30 06:37:22] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.89, latency: 62, replicas: 3
[2026-07-30 06:37:32] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.31, latency: 62, replicas: 3
[2026-07-30 06:37:42] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.78, latency: 57, replicas: 3
[2026-07-30 06:37:52] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 26.8, latency: 57, replicas: 3
[2026-07-30 06:38:02] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.85, latency: 58, replicas: 3
[2026-07-30 06:38:12] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.72, latency: 62, replicas: 3
[2026-07-30 06:38:22] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.96, latency: 58, replicas: 3
[2026-07-30 06:38:32] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.22, latency: 59, replicas: 3
[2026-07-30 06:38:42] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.28, latency: 60, replicas: 3
[2026-07-30 06:38:52] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.7, latency: 59, replicas: 3
[2026-07-30 06:39:02] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.01, latency: 60, replicas: 3
[2026-07-30 06:39:12] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.5, latency: 60, replicas: 3
[2026-07-30 06:39:22] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.73, latency: 61, replicas: 3
[2026-07-30 06:39:32] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.72, latency: 60, replicas: 3
[2026-07-30 06:39:42] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.2, latency: 57, replicas: 3
[2026-07-30 06:39:52] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.87, latency: 61, replicas: 3
[2026-07-30 06:40:02] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.93, latency: 57, replicas: 3
[2026-07-30 06:40:12] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.92, latency: 61, replicas: 3
[2026-07-30 06:40:22] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.15, latency: 57, replicas: 3
[2026-07-30 06:40:32] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.65, latency: 57, replicas: 3
[2026-07-30 06:40:42] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.72, latency: 60, replicas: 3
[2026-07-30 06:40:52] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.42, latency: 59, replicas: 3
[2026-07-30 06:41:02] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.64, latency: 59, replicas: 3
[2026-07-30 06:41:12] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 26.83, latency: 61, replicas: 3
[2026-07-30 06:41:22] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 26.93, latency: 60, replicas: 3
[2026-07-30 06:41:32] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 26.81, latency: 62, replicas: 3
[2026-07-30 06:41:42] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.07, latency: 62, replicas: 3
[2026-07-30 06:41:52] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.94, latency: 58, replicas: 3
[2026-07-30 06:42:02] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 26.99, latency: 59, replicas: 3
[2026-07-30 06:42:12] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.8, latency: 59, replicas: 3
[2026-07-30 06:42:22] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 26.73, latency: 58, replicas: 3
[2026-07-30 06:42:32] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 30.31, latency: 59, replicas: 3
[2026-07-30 06:42:42] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 30.33, latency: 61, replicas: 3
[2026-07-30 06:42:52] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 30.1, latency: 58, replicas: 3
[2026-07-30 06:43:02] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 30.24, latency: 57, replicas: 3
[2026-07-30 06:43:12] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.33, latency: 58, replicas: 3
[2026-07-30 06:43:22] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.26, latency: 59, replicas: 3
[2026-07-30 06:43:32] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.06, latency: 58, replicas: 3
[2026-07-30 06:43:42] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.81, latency: 58, replicas: 3
[2026-07-30 06:43:52] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.68, latency: 61, replicas: 3
[2026-07-30 06:44:02] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 30.5, latency: 62, replicas: 3
[2026-07-30 06:44:12] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.26, latency: 58, replicas: 3
[2026-07-30 06:44:22] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.29, latency: 62, replicas: 3
[2026-07-30 06:44:32] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 30, latency: 57, replicas: 3
[2026-07-30 06:44:42] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.69, latency: 62, replicas: 3
[2026-07-30 06:44:52] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.76, latency: 58, replicas: 3
[2026-07-30 06:45:02] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.7, latency: 62, replicas: 3
[2026-07-30 06:45:12] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.91, latency: 61, replicas: 3
[2026-07-30 06:45:22] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.17, latency: 60, replicas: 3
[2026-07-30 06:45:32] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 26.77, latency: 62, replicas: 3
[2026-07-30 06:45:42] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 26.88, latency: 58, replicas: 3
[2026-07-30 06:45:52] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.08, latency: 57, replicas: 3
[2026-07-30 06:46:02] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.01, latency: 59, replicas: 3
[2026-07-30 06:46:12] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 30.02, latency: 60, replicas: 3
[2026-07-30 06:46:22] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 30.34, latency: 59, replicas: 3
[2026-07-30 06:46:32] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.79, latency: 57, replicas: 3
[2026-07-30 06:46:42] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.11, latency: 60, replicas: 3
[2026-07-30 06:46:52] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 26.8, latency: 58, replicas: 3
[2026-07-30 06:47:02] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 30.31, latency: 58, replicas: 3
[2026-07-30 06:47:12] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 26.86, latency: 59, replicas: 3
[2026-07-30 06:47:22] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.76, latency: 59, replicas: 3
[2026-07-30 06:47:32] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.61, latency: 62, replicas: 3
[2026-07-30 06:47:42] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.12, latency: 59, replicas: 3
[2026-07-30 06:47:52] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 26.96, latency: 58, replicas: 3
[2026-07-30 06:48:02] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.11, latency: 61, replicas: 3
[2026-07-30 06:48:12] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.46, latency: 59, replicas: 3
[2026-07-30 06:48:22] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 26.66, latency: 60, replicas: 3
[2026-07-30 06:48:32] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29, latency: 62, replicas: 3
[2026-07-30 06:48:42] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.29, latency: 60, replicas: 3
[2026-07-30 06:48:52] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.42, latency: 58, replicas: 3
[2026-07-30 06:49:02] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 26.64, latency: 59, replicas: 3
[2026-07-30 06:49:12] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 26.61, latency: 60, replicas: 3
[2026-07-30 06:49:22] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.14, latency: 58, replicas: 3
[2026-07-30 06:49:32] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 30.43, latency: 57, replicas: 3
[2026-07-30 06:49:42] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.64, latency: 61, replicas: 3
[2026-07-30 06:49:52] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.61, latency: 61, replicas: 3
[2026-07-30 06:50:02] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.62, latency: 60, replicas: 3
[2026-07-30 06:50:12] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 30.3, latency: 60, replicas: 3
[2026-07-30 06:50:22] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.7, latency: 60, replicas: 3
[2026-07-30 06:50:32] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.99, latency: 62, replicas: 3
[2026-07-30 06:50:42] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 26.61, latency: 62, replicas: 3
[2026-07-30 06:50:52] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 30.15, latency: 61, replicas: 3
[2026-07-30 06:51:02] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 26.63, latency: 61, replicas: 3
[2026-07-30 06:51:12] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 30.41, latency: 57, replicas: 3
[2026-07-30 06:51:22] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.23, latency: 60, replicas: 3
[2026-07-30 06:51:32] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.89, latency: 61, replicas: 3
[2026-07-30 06:51:42] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 30.11, latency: 60, replicas: 3
[2026-07-30 06:51:52] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.61, latency: 62, replicas: 3
[2026-07-30 06:52:02] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28, latency: 61, replicas: 3
[2026-07-30 06:52:12] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 30.4, latency: 62, replicas: 3
[2026-07-30 06:52:22] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 30.54, latency: 60, replicas: 3
[2026-07-30 06:52:32] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.78, latency: 62, replicas: 3
[2026-07-30 06:52:42] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 26.67, latency: 57, replicas: 3
[2026-07-30 06:52:52] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 26.98, latency: 58, replicas: 3
[2026-07-30 06:53:02] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.27, latency: 57, replicas: 3
[2026-07-30 06:53:12] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.12, latency: 62, replicas: 3
[2026-07-30 06:53:22] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.01, latency: 57, replicas: 3
[2026-07-30 06:53:32] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.41, latency: 57, replicas: 3
[2026-07-30 06:53:42] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.88, latency: 62, replicas: 3
[2026-07-30 06:53:52] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 26.83, latency: 60, replicas: 3
[2026-07-30 06:54:02] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 30.19, latency: 58, replicas: 3
[2026-07-30 06:54:12] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.54, latency: 59, replicas: 3
[2026-07-30 06:54:22] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.05, latency: 62, replicas: 3
[2026-07-30 06:54:32] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 26.76, latency: 58, replicas: 3
[2026-07-30 06:54:43] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.17, latency: 57, replicas: 3
[2026-07-30 06:54:52] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.34, latency: 60, replicas: 3
[2026-07-30 06:55:02] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.29, latency: 58, replicas: 3
[2026-07-30 06:55:13] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.26, latency: 61, replicas: 3
[2026-07-30 06:55:22] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.34, latency: 57, replicas: 3
[2026-07-30 06:55:32] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 30.12, latency: 62, replicas: 3
[2026-07-30 06:55:42] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.57, latency: 60, replicas: 3
[2026-07-30 06:55:53] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 30.35, latency: 58, replicas: 3
[2026-07-30 06:56:03] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.25, latency: 58, replicas: 3
[2026-07-30 06:56:13] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.46, latency: 58, replicas: 3
[2026-07-30 06:56:23] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.84, latency: 57, replicas: 3
[2026-07-30 06:56:33] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.6, latency: 58, replicas: 3
[2026-07-30 06:56:43] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.86, latency: 59, replicas: 3
[2026-07-30 06:56:53] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.26, latency: 61, replicas: 3
[2026-07-30 06:57:03] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 30.13, latency: 60, replicas: 3
[2026-07-30 06:57:13] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.5, latency: 57, replicas: 3
[2026-07-30 06:57:23] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.45, latency: 60, replicas: 3
[2026-07-30 06:57:33] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.11, latency: 62, replicas: 3
[2026-07-30 06:57:43] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.25, latency: 59, replicas: 3
[2026-07-30 06:57:53] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.06, latency: 58, replicas: 3
[2026-07-30 06:58:03] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.26, latency: 60, replicas: 3
[2026-07-30 06:58:13] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 30.08, latency: 62, replicas: 3
[2026-07-30 06:58:23] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.83, latency: 61, replicas: 3
[2026-07-30 06:58:33] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.59, latency: 57, replicas: 3
[2026-07-30 06:58:43] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.45, latency: 58, replicas: 3
[2026-07-30 06:58:53] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.13, latency: 62, replicas: 3
[2026-07-30 06:59:03] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.65, latency: 58, replicas: 3
[2026-07-30 06:59:13] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.65, latency: 62, replicas: 3
[2026-07-30 06:59:23] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.22, latency: 62, replicas: 3
[2026-07-30 06:59:33] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 26.66, latency: 62, replicas: 3
[2026-07-30 06:59:43] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29, latency: 58, replicas: 3
[2026-07-30 06:59:53] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.09, latency: 57, replicas: 3
[2026-07-30 07:00:03] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.15, latency: 59, replicas: 3
[2026-07-30 07:00:13] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.13, latency: 61, replicas: 3
[2026-07-30 07:00:23] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.34, latency: 57, replicas: 3
[2026-07-30 07:00:33] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.88, latency: 59, replicas: 3
[2026-07-30 07:00:43] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 30.23, latency: 58, replicas: 3
[2026-07-30 07:00:53] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.05, latency: 58, replicas: 3
[2026-07-30 07:01:03] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.11, latency: 62, replicas: 3
[2026-07-30 07:01:13] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.54, latency: 59, replicas: 3
[2026-07-30 07:01:23] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.71, latency: 59, replicas: 3
[2026-07-30 07:01:33] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 26.62, latency: 62, replicas: 3
[2026-07-30 07:01:43] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.96, latency: 57, replicas: 3
[2026-07-30 07:01:53] [INFO] [APP_SIMULATOR] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.77, latency: 59, replicas: 3
