[2026-08-05T10:46:46.030Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 6, responseTime: 156
[2026-08-05T10:53:21.099Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 8, responseTime: 164
[2026-08-05T10:53:33.008Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 8, responseTime: 163
[2026-08-05T10:53:42.953Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 9, responseTime: 158
[2026-08-05T10:53:53.022Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 7, responseTime: 155
[2026-08-05T10:54:02.943Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 7, responseTime: 157
[2026-08-05T10:54:12.963Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 7, responseTime: 161
[2026-08-05T10:54:22.957Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 7, responseTime: 164
[2026-08-05T10:54:32.984Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 7, responseTime: 162
[2026-08-05T10:54:42.989Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 7, responseTime: 158
[2026-08-05T10:54:53.004Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 7, responseTime: 160
[2026-08-05T10:55:03.018Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 7, responseTime: 164
[2026-08-05T10:55:13.074Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 7, responseTime: 161
[2026-08-05T10:55:23.059Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 8, responseTime: 157
[2026-08-05T10:55:33.023Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 7, responseTime: 163
[2026-08-05T10:55:43.282Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 7, responseTime: 158
[2026-08-05T10:55:59.977Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 9, responseTime: 162
[2026-08-05T10:56:09.846Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 8, responseTime: 161
[2026-08-05T10:56:19.824Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 8, responseTime: 164
[2026-08-05T10:56:29.829Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 9, responseTime: 157
[2026-08-05T10:56:39.800Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 9, responseTime: 160
[2026-08-05T10:56:49.849Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 8, responseTime: 159
[2026-08-05T10:56:59.879Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 8, responseTime: 161
[2026-08-05T10:57:09.852Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 9, responseTime: 156
[2026-08-05T10:57:19.893Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 7, responseTime: 164
[2026-08-05T10:57:29.881Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 7, responseTime: 155
[2026-08-05T10:57:40.118Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 8, responseTime: 157
[2026-08-05T10:57:52.601Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 9, responseTime: 160
[2026-08-05T10:58:02.514Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 8, responseTime: 162
[2026-08-05T10:58:12.512Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 7, responseTime: 160
[2026-08-05T10:58:22.648Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 9, responseTime: 158
[2026-08-05T10:58:32.525Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 8, responseTime: 162
[2026-08-05T10:58:42.544Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 6, responseTime: 156
[2026-08-05T10:58:52.568Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 6, responseTime: 155
[2026-08-05T10:59:02.690Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 6, responseTime: 156
[2026-08-05T10:59:12.554Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 7, responseTime: 160
[2026-08-05T10:59:22.705Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 9, responseTime: 164
[2026-08-05T10:59:32.579Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 6, responseTime: 164
[2026-08-05T10:59:42.588Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 6, responseTime: 164
[2026-08-05T10:59:52.734Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 6, responseTime: 159
[2026-08-05T11:00:02.722Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 8, responseTime: 156
[2026-08-05T11:00:12.622Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 8, responseTime: 164
