[2026-08-05T10:49:30.412Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3.06, failedWorkflows: 0, responseTime: 99.44
[2026-08-05T10:52:50.588Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3.01, failedWorkflows: 0, responseTime: 92.03
[2026-08-05T10:53:00.607Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3.02, failedWorkflows: 0, responseTime: 92.06
[2026-08-05T10:53:10.601Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 2.87, failedWorkflows: 0, responseTime: 91.79
[2026-08-05T10:53:20.635Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3.12, failedWorkflows: 0, responseTime: 98.55
[2026-08-05T10:53:32.541Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 2.89, failedWorkflows: 0, responseTime: 96.59
[2026-08-05T10:53:42.546Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 2.96, failedWorkflows: 0, responseTime: 99.21
[2026-08-05T10:53:52.619Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 2.96, failedWorkflows: 0, responseTime: 97.29
[2026-08-05T10:54:02.541Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3.05, failedWorkflows: 0, responseTime: 94.52
[2026-08-05T10:54:12.551Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3, failedWorkflows: 0, responseTime: 97.88
[2026-08-05T10:54:22.547Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 2.91, failedWorkflows: 0, responseTime: 99.29
[2026-08-05T10:54:32.576Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3.04, failedWorkflows: 0, responseTime: 92.05
[2026-08-05T10:54:42.575Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3.15, failedWorkflows: 0, responseTime: 97.02
[2026-08-05T10:54:52.584Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 2.98, failedWorkflows: 0, responseTime: 94.59
[2026-08-05T10:55:02.590Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3.02, failedWorkflows: 0, responseTime: 97.07
[2026-08-05T10:55:12.595Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 2.95, failedWorkflows: 0, responseTime: 98.83
[2026-08-05T10:55:22.630Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3.05, failedWorkflows: 0, responseTime: 96.63
[2026-08-05T10:55:32.607Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 2.97, failedWorkflows: 0, responseTime: 95.64
[2026-08-05T10:55:42.677Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3.12, failedWorkflows: 0, responseTime: 98.63
[2026-08-05T10:55:59.437Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3.15, failedWorkflows: 0, responseTime: 94.73
[2026-08-05T10:56:09.429Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 2.9, failedWorkflows: 0, responseTime: 93.09
[2026-08-05T10:56:19.401Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 2.92, failedWorkflows: 0, responseTime: 98.02
[2026-08-05T10:56:29.410Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3.08, failedWorkflows: 0, responseTime: 91.14
[2026-08-05T10:56:39.390Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3.1, failedWorkflows: 0, responseTime: 97.21
[2026-08-05T10:56:49.427Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 2.9, failedWorkflows: 0, responseTime: 99.27
[2026-08-05T10:56:59.460Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 2.86, failedWorkflows: 0, responseTime: 98.27
[2026-08-05T10:57:09.442Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 2.91, failedWorkflows: 0, responseTime: 99.08
[2026-08-05T10:57:19.471Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3.01, failedWorkflows: 0, responseTime: 97.18
[2026-08-05T10:57:29.460Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3.03, failedWorkflows: 0, responseTime: 98.42
[2026-08-05T10:57:39.485Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 2.94, failedWorkflows: 0, responseTime: 92.43
[2026-08-05T10:57:52.114Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3.12, failedWorkflows: 0, responseTime: 92.74
[2026-08-05T10:58:02.058Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3.1, failedWorkflows: 0, responseTime: 98.1
[2026-08-05T10:58:12.092Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 2.95, failedWorkflows: 0, responseTime: 97.06
[2026-08-05T10:58:22.099Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 2.96, failedWorkflows: 0, responseTime: 97.8
[2026-08-05T10:58:32.067Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3.07, failedWorkflows: 0, responseTime: 91.03
[2026-08-05T10:58:42.098Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3.06, failedWorkflows: 0, responseTime: 93.55
[2026-08-05T10:58:52.137Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3.03, failedWorkflows: 0, responseTime: 93.43
[2026-08-05T10:59:02.113Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 2.98, failedWorkflows: 0, responseTime: 99.36
[2026-08-05T10:59:12.122Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3.08, failedWorkflows: 0, responseTime: 92.03
[2026-08-05T10:59:22.163Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3, failedWorkflows: 0, responseTime: 97.32
[2026-08-05T10:59:32.152Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 2.98, failedWorkflows: 0, responseTime: 95.27
[2026-08-05T10:59:42.159Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 2.85, failedWorkflows: 0, responseTime: 98.19
[2026-08-05T10:59:52.225Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 2.99, failedWorkflows: 0, responseTime: 96
[2026-08-05T11:00:02.237Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 2.88, failedWorkflows: 0, responseTime: 97.28
[2026-08-05T11:00:12.193Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3.04, failedWorkflows: 0, responseTime: 98.23
