[2026-08-04 20:26:25] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 8, responseTime: 161
[2026-08-04 20:28:05] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 4, avgResponseTime: 452, throughput: 118
[2026-08-04 20:28:16] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 3, findings: 6, responseTime: 153
[2026-08-04 20:28:16] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 4, avgResponseTime: 451, throughput: 123
[2026-08-04 20:28:25] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 0, findings: 9, responseTime: 161
[2026-08-04 20:28:25] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 5, avgResponseTime: 455, throughput: 117
[2026-08-04 20:28:37] [INFO] [COORDINATOR] Intelligent Observability Daemon started successfully in [SIMULATION] mode.
[2026-08-04 20:28:37] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 6, responseTime: 162
[2026-08-04 20:28:37] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 3, avgResponseTime: 451, throughput: 123
[2026-08-04 20:28:48] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 3, findings: 6, responseTime: 158
[2026-08-04 20:28:48] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 5, avgResponseTime: 456, throughput: 120
[2026-08-04 20:28:58] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 8, responseTime: 152
[2026-08-04 20:28:58] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 5, avgResponseTime: 459, throughput: 122
[2026-08-04 20:29:08] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 9, responseTime: 166
[2026-08-04 20:29:08] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 6, avgResponseTime: 445, throughput: 122
[2026-08-04 20:29:18] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 8, responseTime: 161
[2026-08-04 20:29:18] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 6, avgResponseTime: 459, throughput: 120
[2026-08-04 20:29:28] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 9, responseTime: 164
[2026-08-04 20:29:28] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 3, avgResponseTime: 445, throughput: 118
[2026-08-04 20:29:38] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 9, responseTime: 155
[2026-08-04 20:29:38] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 5, avgResponseTime: 445, throughput: 117
[2026-08-04 20:29:48] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 8, responseTime: 165
[2026-08-04 20:29:48] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 4, avgResponseTime: 457, throughput: 122
[2026-08-04 20:29:58] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 9, responseTime: 157
[2026-08-04 20:29:58] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 5, avgResponseTime: 456, throughput: 123
[2026-08-04 20:30:08] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 8, responseTime: 161
[2026-08-04 20:30:08] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 5, avgResponseTime: 446, throughput: 121
[2026-08-04 20:30:18] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 8, responseTime: 162
[2026-08-04 20:30:18] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 5, avgResponseTime: 453, throughput: 119
[2026-08-04 20:30:28] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 9, responseTime: 161
[2026-08-04 20:30:28] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 3, avgResponseTime: 448, throughput: 121
[2026-08-04 20:30:39] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 8, responseTime: 165
[2026-08-04 20:30:39] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 3, avgResponseTime: 454, throughput: 123
[2026-08-04 20:30:48] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 0, findings: 8, responseTime: 164
[2026-08-04 20:30:48] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 5, avgResponseTime: 457, throughput: 120
[2026-08-04 20:30:58] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 0, findings: 9, responseTime: 157
[2026-08-04 20:30:58] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 4, avgResponseTime: 452, throughput: 117
[2026-08-04 20:31:08] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 0, findings: 8, responseTime: 158
[2026-08-04 20:31:08] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 4, avgResponseTime: 455, throughput: 121
[2026-08-04 20:31:18] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 3, findings: 7, responseTime: 153
[2026-08-04 20:31:18] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 5, avgResponseTime: 449, throughput: 118
[2026-08-04 20:31:28] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 9, responseTime: 157
[2026-08-04 20:31:28] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 5, avgResponseTime: 446, throughput: 119
[2026-08-04 20:31:38] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 7, responseTime: 161
[2026-08-04 20:31:38] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 4, avgResponseTime: 457, throughput: 118
[2026-08-04 20:31:48] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 0, findings: 9, responseTime: 159
[2026-08-04 20:31:48] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 6, avgResponseTime: 443, throughput: 123
[2026-08-04 20:31:58] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 0, findings: 9, responseTime: 163
[2026-08-04 20:31:58] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 3, avgResponseTime: 451, throughput: 119
[2026-08-04 20:32:08] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 8, responseTime: 158
[2026-08-04 20:32:08] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 6, avgResponseTime: 452, throughput: 118
[2026-08-04 20:32:18] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 7, responseTime: 161
[2026-08-04 20:32:18] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 3, avgResponseTime: 449, throughput: 123
[2026-08-04 20:32:28] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 8, responseTime: 160
[2026-08-04 20:32:28] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 5, avgResponseTime: 449, throughput: 122
[2026-08-04 20:32:38] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 6, responseTime: 159
[2026-08-04 20:32:38] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 5, avgResponseTime: 451, throughput: 122
[2026-08-04 20:32:48] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 6, responseTime: 165
[2026-08-04 20:32:48] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 6, avgResponseTime: 447, throughput: 121
[2026-08-04 20:32:58] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 7, responseTime: 159
[2026-08-04 20:32:58] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 4, avgResponseTime: 444, throughput: 119
[2026-08-04 20:33:08] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 7, responseTime: 153
[2026-08-04 20:33:08] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 6, avgResponseTime: 452, throughput: 121
[2026-08-04 20:33:18] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 9, responseTime: 162
[2026-08-04 20:33:18] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 6, avgResponseTime: 458, throughput: 123
[2026-08-04 20:33:28] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 3, findings: 7, responseTime: 153
[2026-08-04 20:33:28] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 4, avgResponseTime: 458, throughput: 119
[2026-08-04 20:33:38] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 7, responseTime: 155
[2026-08-04 20:33:38] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 4, avgResponseTime: 453, throughput: 123
[2026-08-04 20:33:48] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 6, responseTime: 162
[2026-08-04 20:33:48] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 5, avgResponseTime: 451, throughput: 118
[2026-08-04 20:33:58] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 6, responseTime: 165
[2026-08-04 20:33:58] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 5, avgResponseTime: 454, throughput: 116
[2026-08-04 20:34:08] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 6, responseTime: 160
[2026-08-04 20:34:08] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 4, avgResponseTime: 443, throughput: 117
[2026-08-04 20:34:18] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 6, responseTime: 161
[2026-08-04 20:34:18] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 6, avgResponseTime: 455, throughput: 119
[2026-08-04 20:34:28] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 3, findings: 7, responseTime: 160
[2026-08-04 20:34:28] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 5, avgResponseTime: 456, throughput: 118
